c_seq,c_bcode,c_id,c_comment,c_date
1,1,test001@naver.com,:D,2021-06-11
2,1,test002@naver.com,노래 좋아욥,2021-06-11
3,12,test004@naver.com,듣기 좋은 노래네요 :>,2021-06-12
4,1,test007@naver.com,노래 좋아욥,2021-06-13
5,1,test001@naver.com,추천 :),2021-06-13
6,12,test013@naver.com,추천 :),2021-06-15
7,5,test005@naver.com,:D,2021-06-16
8,5,test001@naver.com,추천 :),2021-06-16
9,5,test013@naver.com,:D,2021-06-16
10,10,test007@naver.com,:D,2021-06-16
11,10,test004@naver.com,:D,2021-06-20
12,10,test014@naver.com,:D,2021-06-21
13,10,test005@naver.com,:D,2021-06-22
14,10,test009@naver.com,:D,2021-06-23
15,21,test009@naver.com,:D,2021-06-24
16,21,test013@naver.com,:D,2021-06-25
17,4,test025@naver.com,:D,2021-06-26
18,3,test005@naver.com,:D,2021-06-27
19,4,test013@naver.com,:D,2021-06-28
20,2,test010@naver.com,:D,2021-06-29
21,2,test020@naver.com,:D,2021-06-30
22,2,test010@naver.com,:D,2021-07-19
23,16,test014@naver.com,:D,2021-07-19
24,16,test025@naver.com,:D,2021-07-19
25,7,test014@naver.com,:D,2021-07-20
26,7,test002@naver.com,:D,2021-07-20
27,7,test020@naver.com,:D,2021-07-16
28,7,test002@naver.com,:D,2021-07-16
29,4,test002@naver.com,:D,2021-07-12
30,10,test014@naver.com,:D,2021-07-09
