m_id,m_pw,m_nickname,m_birth,m_name,m_gender,m_level,m_profile
master,1234,관리자,1998-08-19,관리자,남,1,0
test001@naver.com,1111,테스트001,2000-08-10,갈한수,남,0,1
test002@naver.com,1111,테스트002,2000-08-11,강이찬,남,0,2
test003@naver.com,1111,테스트003,2000-08-11,개원훈,남,0,3
test004@naver.com,1111,테스트004,1996-08-13,경시현,여,0,4
test005@naver.com,1111,테스트005,1996-08-13,공동영,남,0,5
test006@naver.com,1111,테스트006,1997-06-15,기대연,남,0,6
test007@naver.com,1111,테스트007,1997-06-05,기원호,남,0,0
test008@naver.com,1111,테스트008,1998-08-17,기은성,여,0,1
test009@naver.com,1111,테스트009,1998-12-18,나한율,여,0,2
test010@naver.com,1111,테스트010,1998-08-19,남동예,남,0,3
test011@naver.com,1111,테스트011,1990-08-20,낭시우,남,0,3
test012@naver.com,1111,테스트012,1994-08-21,내세원,남,0,4
test013@naver.com,1111,테스트013,2003-08-22,뇌성수,남,0,5
test014@naver.com,1111,테스트014,2003-05-20,단수혁,남,0,5
test015@naver.com,1111,테스트015,2004-04-22,담성민,남,0,0
test016@naver.com,1111,테스트016,2006-03-03,담원준,남,0,0
test017@naver.com,1111,테스트017,2001-02-18,담장호,남,0,2
test018@naver.com,1111,테스트018,2001-04-01,김예준,여,0,2
test019@naver.com,1111,테스트019,2005-04-04,돈송혁,남,0,3
test020@naver.com,1111,테스트020,2008-10-22,돈재현,남,0,4
test021@naver.com,1111,테스트021,2009-11-22,두동환,남,0,4
test022@naver.com,1111,테스트022,2010-04-22,두채훈,남,0,4
test023@naver.com,1111,테스트023,2005-04-22,명윤일,남,0,4
test024@naver.com,1111,테스트024,1998-09-02,모재원,여,0,6
test025@naver.com,1111,테스트025,1998-07-03,문은진,여,0,6
test026@naver.com,1111,테스트026,1998-09-04,박수혁,남,0,6
test027@naver.com,1111,테스트027,1998-09-05,방윤후,남,0,1
test028@naver.com,1111,테스트028,1998-09-06,방채호,남,0,1
test029@naver.com,1111,테스트029,1998-09-07,배세준,남,0,1
test030@naver.com,1111,테스트030,1998-09-08,배채호,남,0,2
test031@naver.com,1111,테스트031,1998-09-09,변재호,남,0,2
test032@naver.com,1111,테스트032,1998-09-10,복재민,남,0,2
test033@naver.com,1111,테스트033,1998-09-11,복준완,남,0,3
test034@naver.com,1111,테스트034,1998-09-12,비현호,남,0,3
test035@naver.com,1111,테스트035,1998-09-13,빈성희,여,0,3
test036@naver.com,1111,테스트036,1998-09-14,사성준,남,0,4
test037@naver.com,1111,테스트037,1998-09-15,사원혁,남,0,5
test038@naver.com,1111,테스트038,1998-09-16,사원호,남,0,6
test039@naver.com,1111,테스트039,1998-09-17,삼윤후,여,0,6
test040@naver.com,1111,테스트040,1998-09-18,삼찬후,남,0,6
test041@naver.com,1111,테스트041,1998-09-19,석서훈,남,0,5
test042@naver.com,1111,테스트042,1998-09-20,성성율,남,0,3
test043@naver.com,1111,테스트043,1998-09-21,소대권,남,0,3
test044@naver.com,1111,테스트044,1998-09-22,소윤수,여,0,5
test045@naver.com,1111,테스트045,1998-09-23,순대영,남,0,4
test046@naver.com,1111,테스트046,1998-09-24,신찬영,남,0,4
test047@naver.com,1111,테스트047,1998-09-25,심장호,남,0,2
test048@naver.com,1111,테스트048,1998-09-26,아동은,여,0,2
test049@naver.com,1111,테스트049,1998-09-27,야유신,남,0,1
test050@naver.com,1111,테스트050,1998-09-28,흥은성,여,0,1
yub@naver.com,1111,yub,1996-07-07,이유빈,여,0,0
yub1@naver.com,1111,melon,1996-07-08,이유빈,여,0,5
